	name	mfr	type	calories	protein	fat	sodium	fiber	carbo	sugars	potass	potass	shelf	weight	rating
25	Frosted Flakes	K	C	146	1	0	266	1.3333333333333333	18.666666666666668	14	33	33	1	1.0	31.435972999999997
26	Frosted Mini-Wheats	K	C	125	3	0	0	3.75	17.5	8	31	125	2	1.0	58.345141000000005
27	Fruit & Fibre Dates; Walnuts; and Oats	P	C	179	4	2	238	7.462686567164178	17.91044776119403	14	37	298	3	1.25	40.917047
28	Fruitful Bran	K	C	179	4	0	358	7.462686567164178	20.8955223880597	17	37	283	3	1.33	41.015492
29	Fruity Pebbles	P	C	146	1	1	180	0.0	17.333333333333332	16	33	33	2	1.0	28.025765000000003
30	Golden Crisp	P	C	113	2	0	51	0.0	12.5	17	28	45	1	1.0	35.252444
31	Golden Grahams	G	C	146	1	1	373	0.0	20.0	12	33	60	2	1.0	23.804043
32	Grape Nuts Flakes	P	C	113	3	1	159	3.409090909090909	17.045454545454547	5	28	96	3	1.0	52.076896999999995
33	Grape-Nuts	P	C	440	12	0	680	12.0	68.0	12	100	360	3	1.0	53.37100699999999
34	Great Grains Pecan	P	C	363	9	9	227	9.09090909090909	39.39393939393939	12	75	303	3	1.0	45.811716
35	Honey Graham Ohs	Q	C	120	1	2	220	1.0	12.0	11	25	45	2	1.0	21.871292
36	Honey Nut Cheerios	G	C	146	4	1	333	2.0	15.333333333333334	13	33	120	1	1.0	31.072217
37	Honey-comb	P	C	110	1	0	180	0.0	14.0	11	25	35	1	1.0	28.742414
38	Just Right Crunchy  Nuggets	K	C	110	2	1	170	1.0	17.0	6	100	60	3	1.0	36.523683
39	Just Right Fruit & Nut	K	C	186	4	1	226	2.6666666666666665	26.666666666666668	12	133	126	3	1.3	36.471512
40	Kix	G	C	110	2	1	260	0.0	21.0	3	25	40	2	1.0	39.241114
41	Life	Q	C	149	5	2	223	2.9850746268656714	17.91044776119403	8	37	141	2	1.0	45.328074
42	Lucky Charms	G	C	110	2	1	180	0.0	12.0	12	25	55	2	1.0	26.734515000000002
43	Maypo	A	H	100	4	1	0	0.0	16.0	3	25	95	2	1.0	54.850917
44	Muesli Raisins; Dates; & Almonds	R	C	150	4	3	95	3.0	16.0	11	25	170	3	1.0	37.136863
45	Muesli Raisins; Peaches; & Pecans	R	C	150	4	3	150	3.0	16.0	11	25	170	3	1.0	34.139765000000004
46	Mueslix Crispy Blend	K	C	238	4	2	223	4.477611940298507	25.37313432835821	19	37	238	3	1.5	30.313351
47	Multi-Grain Cheerios	G	C	100	2	1	220	2.0	15.0	6	25	90	1	1.0	40.105965000000005
48	Nut&Honey Crunch	K	C	179	2	1	283	0.0	22.388059701492537	13	37	59	2	1.0	29.924284999999998
49	Nutri-Grain Almond-Raisin	K	C	208	4	2	328	4.477611940298507	31.34328358208955	10	37	194	3	1.33	40.69232
50	Nutri-grain Wheat	K	C	90	3	0	170	3.0	18.0	2	25	90	3	1.0	59.642837
51	Oatmeal Raisin Crisp	G	C	260	6	4	340	3.0	27.0	20	50	240	3	1.25	30.450843
52	Post Nat. Raisin Bran	P	C	179	4	1	298	8.955223880597014	16.417910447761194	20	37	388	3	1.33	37.840594
53	Product 19	K	C	100	3	0	320	1.0	20.0	3	100	45	3	1.0	41.50354
54	Puffed Rice	Q	C	50	1	0	0	0.0	13.0	0	0	15	3	0.5	60.756112
55	Puffed Wheat	Q	C	50	2	0	0	1.0	10.0	0	0	50	3	0.5	63.005644999999994
56	Quaker Oat Squares	Q	C	200	8	2	270	4.0	28.0	12	50	220	3	1.0	49.511874
57	Quaker Oatmeal	Q	H	149	7	2	0	4.029850746268656	-1.4925373134328357	-1	0	164	1	1.0	50.828392
58	Raisin Bran	K	C	160	4	1	280	6.666666666666667	18.666666666666668	16	33	320	2	1.33	39.259197
59	Raisin Nut Bran	G	C	200	6	4	280	5.0	21.0	16	50	280	3	1.0	39.7034
60	Raisin Squares	K	C	180	4	0	0	4.0	30.0	12	50	220	3	1.0	55.333142
61	Rice Chex	R	C	110	1	0	240	0.0	23.0	2	25	30	1	1.0	41.998933
62	Rice Krispies	K	C	110	2	0	290	0.0	22.0	3	25	35	1	1.0	40.560159000000006
63	Shredded Wheat	N	C	80	2	0	0	3.0	16.0	0	0	95	1	0.83	68.235885
64	Shredded Wheat 'n'Bran	N	C	134	4	0	0	5.970149253731343	28.35820895522388	0	0	208	1	1.0	74.472949
65	Shredded Wheat spoon size	N	C	134	4	0	0	4.477611940298507	29.850746268656714	0	0	179	1	1.0	72.801787
66	Smacks	K	C	146	2	1	93	1.3333333333333333	12.0	20	33	53	2	1.0	31.230054
67	Special K	K	C	110	6	0	230	1.0	16.0	3	25	55	1	1.0	53.131324
68	Strawberry Fruit Wheats	N	C	90	2	0	15	3.0	15.0	5	25	90	2	1.0	59.36399300000001
69	Total Corn Flakes	G	C	110	2	1	200	0.0	21.0	3	100	35	3	1.0	38.839746000000005
70	Total Raisin Bran	G	C	140	3	1	190	4.0	15.0	14	100	230	3	1.5	28.592785
71	Total Whole Grain	G	C	100	3	1	200	3.0	16.0	3	100	110	3	1.0	46.658844
72	Triples	G	C	146	2	1	333	0.0	28.0	4	33	80	3	1.0	39.106173999999996
73	Trix	G	C	110	1	1	140	0.0	13.0	12	25	25	2	1.0	27.753301
74	Wheat Chex	R	C	149	4	1	343	4.477611940298507	25.37313432835821	4	37	171	1	1.0	49.787445
75	Wheaties	G	C	100	3	1	200	3.0	17.0	3	25	110	1	1.0	51.592193
76	Wheaties Honey Gold	G	C	146	2	1	266	1.3333333333333333	21.333333333333332	10	33	80	1	1.0	36.187559
